ID,Date,Element,Data_Value
GM000010147,2010-02-19,TMIN,6
GM000010147,2006-03-20,TMAX,45
GM000010147,2005-08-29,TMAX,244
GM000010147,2013-12-25,TMAX,120
GM000010147,2006-01-28,TMAX,8
GM000010147,2011-11-08,TMIN,51
GM000010147,2007-06-03,TMAX,202
GM000010147,2013-08-26,TMAX,231
GM000010147,2015-07-23,TMIN,99
GM000010147,2006-10-03,TMAX,156
GM000010147,2006-09-29,TMAX,209
GM000010147,2005-05-31,TMAX,138
GM000010147,2006-06-07,TMIN,56
GM000010147,2015-09-21,TMAX,155
GM000010147,2015-09-21,TMIN,94
GM000010147,2014-08-05,TMIN,124
GM000010147,2010-03-26,TMAX,164
GM000010147,2008-02-26,TMAX,118
GM000010147,2005-05-31,TMIN,83
GM000010147,2014-07-25,TMIN,165
GM000010147,2015-12-19,TMIN,92
GM000010147,2013-08-26,TMIN,121
GM000010147,2012-07-01,TMAX,220
GM000010147,2006-06-07,TMAX,193
GM000010147,2011-05-12,TMAX,202
GM000010147,2011-03-30,TMAX,162
GM000010147,2006-05-28,TMIN,95
GM000010147,2014-08-17,TMIN,126
GM000010147,2010-06-15,TMAX,177
GM000010147,2015-07-23,TMAX,198
GM000010147,2005-05-14,TMIN,50
GM000010147,2006-12-02,TMIN,80
GM000010147,2006-04-10,TMAX,98
GM000010147,2006-10-03,TMIN,90
GM000010147,2011-04-08,TMAX,143
GM000010147,2012-07-01,TMIN,102
GM000010147,2009-02-12,TMAX,15
GM000010147,2009-10-18,TMIN,7
GM000010147,2006-09-17,TMAX,244
GM000010147,2006-12-02,TMAX,111
GM000010147,2013-12-04,TMIN,23
GM000010147,2013-05-30,TMIN,116
GM000010147,2015-07-02,TMAX,321
GM000010147,2006-04-10,TMIN,32
GM000010147,2008-02-26,TMIN,47
GM000010147,2015-08-02,TMIN,89
GM000010147,2010-04-22,TMAX,107
GM000010147,2014-07-25,TMAX,264
GM000010147,2007-03-10,TMIN,28
GM000010147,2012-04-26,TMIN,102
GM000010147,2011-03-24,TMAX,146
GM000010147,2009-02-15,TMIN,-38
GM000010147,2015-08-02,TMAX,229
GM000010147,2011-03-24,TMIN,43
GM000010147,2009-02-15,TMAX,19
GM000010147,2007-11-24,TMAX,52
GM000010147,2009-09-18,TMAX,191
GM000010147,2006-09-29,TMIN,118
GM000010147,2005-11-18,TMAX,4
GM000010147,2006-01-28,TMIN,-132
GM000010147,2009-12-19,TMIN,-108
GM000010147,2005-11-18,TMIN,-44
GM000010147,2010-06-15,TMIN,60
GM000010147,2005-05-14,TMAX,188
GM000010147,2009-03-24,TMAX,42
GM000010147,2011-08-21,TMAX,261
GM000010147,2010-03-26,TMIN,55
GM000010147,2008-10-13,TMIN,67
GM000010147,2006-10-02,TMAX,187
GM000010147,2007-04-22,TMAX,191
GM000010147,2015-07-02,TMIN,177
GM000010147,2011-08-21,TMIN,136
GM000010147,2010-10-22,TMIN,71
GM000010147,2012-04-26,TMAX,165
GM000010147,2009-09-18,TMIN,48
GM000010147,2008-10-13,TMAX,195
GM000010147,2015-08-24,TMAX,243
GM000010147,2006-05-28,TMAX,137
GM000010147,2010-10-22,TMAX,102
GM000010147,2012-01-20,TMAX,46
GM000010147,2010-04-22,TMIN,4
GM000010147,2014-08-05,TMAX,234
GM000010147,2007-11-24,TMIN,-26
GM000010147,2015-02-15,TMAX,46
GM000010147,2011-07-20,TMAX,242
GM000010147,2009-06-15,TMAX,166
GM000010147,2006-04-09,TMAX,85
GM000010147,2007-12-10,TMAX,46
GM000010147,2007-12-10,TMIN,18
GM000010147,2011-05-12,TMIN,88
GM000010147,2015-03-10,TMAX,115
GM000010147,2010-06-18,TMAX,167
GM000010147,2011-10-22,TMAX,113
GM000010147,2009-08-17,TMAX,230
GM000010147,2009-10-12,TMAX,109
GM000010147,2010-06-18,TMIN,86
GM000010147,2009-08-17,TMIN,140
GM000010147,2008-04-20,TMAX,126
GM000010147,2009-08-19,TMIN,111
GM000010147,2011-04-07,TMIN,57
GM000010147,2006-02-14,TMIN,-42
GM000010147,2005-06-12,TMAX,130
GM000010147,2015-12-19,TMAX,135
GM000010147,2009-10-12,TMIN,41
GM000010147,2006-10-06,TMAX,163
GM000010147,2006-02-17,TMAX,72
GM000010147,2012-02-18,TMIN,29
GM000010147,2005-06-12,TMIN,69
GM000010147,2009-03-24,TMIN,-13
GM000010147,2008-05-24,TMAX,199
GM000010147,2006-02-17,TMIN,21
GM000010147,2005-10-26,TMIN,94
GM000010147,2008-07-20,TMIN,120
GM000010147,2009-06-15,TMIN,90
GM000010147,2006-03-31,TMIN,40
GM000010147,2010-11-30,TMAX,-9
GM000010147,2009-08-19,TMAX,277
GM000010147,2011-10-22,TMIN,21
GM000010147,2005-07-26,TMAX,177
GM000010147,2008-07-20,TMAX,178
GM000010147,2006-03-05,TMAX,12
GM000010147,2011-04-07,TMAX,150
GM000010147,2009-02-24,TMAX,62
GM000010147,2010-05-09,TMAX,108
GM000010147,2010-05-09,TMIN,22
GM000010147,2006-08-06,TMIN,152
GM000010147,2007-03-10,TMAX,105
GM000010147,2011-02-22,TMAX,-23
GM000010147,2006-11-13,TMIN,47
GM000010147,2015-02-15,TMIN,-9
GM000010147,2006-10-02,TMIN,123
GM000010147,2007-07-24,TMIN,137
GM000010147,2008-10-26,TMAX,125
GM000010147,2013-05-30,TMAX,198
GM000010147,2009-02-12,TMIN,-60
GM000010147,2007-06-03,TMIN,125
GM000010147,2015-08-24,TMIN,149
GM000010147,2011-02-22,TMIN,-90
GM000010147,2011-07-20,TMIN,122
GM000010147,2006-05-02,TMIN,90
GM000010147,2013-01-10,TMAX,53
GM000010147,2006-05-02,TMAX,170
GM000010147,2006-04-09,TMIN,29
GM000010147,2011-07-09,TMIN,116
GM000010147,2005-08-29,TMIN,129
GM000010147,2015-04-20,TMAX,183
GM000010147,2015-03-10,TMIN,27
GM000010147,2006-11-13,TMAX,110
GM000010147,2009-06-19,TMAX,178
GM000010147,2013-03-23,TMAX,-19
GM000010147,2006-02-14,TMAX,40
GM000010147,2009-12-19,TMAX,-72
GM000010147,2008-11-03,TMIN,66
GM000010147,2013-03-23,TMIN,-70
GM000010147,2009-10-18,TMAX,105
GM000010147,2008-11-03,TMAX,93
GM000010147,2014-03-23,TMAX,109
GM000010147,2006-08-06,TMAX,268
GM000010147,2013-05-17,TMIN,121
GM000010147,2007-07-24,TMAX,203
GM000010147,2014-03-23,TMIN,13
GM000010147,2013-05-17,TMAX,249
GM000010147,2009-06-19,TMIN,103
GM000010147,2010-09-06,TMIN,50
GM000010147,2006-06-27,TMAX,185
GM000010147,2008-03-08,TMAX,105
GM000010147,2011-03-12,TMAX,128
GM000010147,2008-12-02,TMIN,30
GM000010147,2014-04-13,TMIN,71
GM000010147,2009-04-23,TMAX,170
GM000010147,2005-05-05,TMIN,56
GM000010147,2010-03-06,TMAX,8
GM000010147,2010-03-06,TMIN,-103
GM000010147,2005-05-26,TMAX,288
GM000010147,2005-05-05,TMAX,128
GM000010147,2009-04-23,TMIN,46
GM000010147,2008-12-02,TMAX,50
GM000010147,2006-10-15,TMIN,68
GM000010147,2015-12-28,TMIN,-11
GM000010147,2012-03-10,TMIN,65
GM000010147,2014-04-13,TMAX,132
GM000010147,2014-11-20,TMIN,-15
GM000010147,2010-08-13,TMIN,143
GM000010147,2014-09-06,TMAX,259
GM000010147,2005-09-05,TMIN,110
GM000010147,2014-09-06,TMIN,145
GM000010147,2015-04-18,TMAX,131
GM000010147,2014-01-10,TMIN,54
GM000010147,2010-08-13,TMAX,231
GM000010147,2013-07-13,TMAX,213
GM000010147,2014-01-10,TMAX,72
GM000010147,2007-08-15,TMAX,258
GM000010147,2012-08-11,TMIN,103
GM000010147,2006-11-29,TMIN,56
GM000010147,2014-11-15,TMAX,105
GM000010147,2015-04-18,TMIN,-11
GM000010147,2015-04-22,TMAX,163
GM000010147,2006-12-18,TMIN,-14
GM000010147,2014-04-06,TMAX,150
GM000010147,2005-01-30,TMAX,56
GM000010147,2015-07-21,TMAX,239
GM000010147,2010-06-26,TMAX,213
GM000010147,2005-05-26,TMIN,133
GM000010147,2015-04-22,TMIN,55
GM000010147,2010-12-12,TMIN,-56
GM000010147,2009-09-19,TMIN,86
GM000010147,2010-06-26,TMIN,86
GM000010147,2005-12-08,TMIN,25
GM000010147,2015-07-21,TMIN,143
GM000010147,2012-09-30,TMIN,71
GM000010147,2012-09-30,TMAX,158
GM000010147,2009-09-19,TMAX,227
GM000010147,2005-12-08,TMAX,44
GM000010147,2013-07-13,TMIN,86
GM000010147,2015-08-01,TMAX,222
GM000010147,2015-12-28,TMAX,61
GM000010147,2007-01-21,TMAX,73
GM000010147,2007-01-21,TMIN,25
GM000010147,2006-11-29,TMAX,114
GM000010147,2014-04-05,TMIN,66
GM000010147,2007-03-31,TMIN,33
GM000010147,2014-10-03,TMIN,139
GM000010147,2005-05-29,TMAX,211
GM000010147,2005-05-29,TMIN,116
GM000010147,2015-08-30,TMIN,121
GM000010147,2015-08-30,TMAX,233
GM000010147,2015-12-02,TMIN,89
GM000010147,2006-04-17,TMIN,13
GM000010147,2015-08-01,TMIN,62
GM000010147,2015-07-03,TMAX,300
GM000010147,2009-11-21,TMIN,78
GM000010147,2015-12-02,TMAX,110
GM000010147,2008-01-10,TMIN,41
GM000010147,2014-11-26,TMIN,17
GM000010147,2011-12-18,TMIN,9
GM000010147,2011-09-12,TMAX,201
GM000010147,2015-07-03,TMIN,176
GM000010147,2011-11-24,TMIN,64
GM000010147,2007-02-01,TMIN,35
GM000010147,2014-11-26,TMAX,56
GM000010147,2007-04-12,TMIN,43
GM000010147,2007-04-12,TMAX,189
GM000010147,2010-06-11,TMIN,127
GM000010147,2010-06-11,TMAX,240
GM000010147,2010-04-14,TMAX,126
GM000010147,2014-08-27,TMIN,66
GM000010147,2014-04-05,TMAX,101
GM000010147,2012-10-16,TMAX,130
GM000010147,2010-04-14,TMIN,6
GM000010147,2011-03-12,TMIN,-5
GM000010147,2006-10-15,TMAX,116
GM000010147,2012-10-16,TMIN,68
GM000010147,2007-03-31,TMAX,161
GM000010147,2006-06-01,TMAX,144
GM000010147,2006-06-01,TMIN,58
GM000010147,2012-03-10,TMAX,119
GM000010147,2013-02-18,TMAX,36
GM000010147,2013-02-18,TMIN,4
GM000010147,2006-04-01,TMIN,49
GM000010147,2014-08-27,TMAX,219
GM000010147,2014-10-03,TMAX,221
GM000010147,2012-12-26,TMAX,83
GM000010147,2011-12-18,TMAX,38
GM000010147,2006-04-01,TMAX,132
GM000010147,2011-09-16,TMAX,166
GM000010147,2010-12-24,TMAX,-14
GM000010147,2010-12-24,TMIN,-37
GM000010147,2006-12-31,TMIN,77
GM000010147,2006-12-31,TMAX,99
GM000010147,2012-09-27,TMAX,152
GM000010147,2014-02-05,TMAX,38
GM000010147,2006-12-10,TMIN,10
GM000010147,2014-02-05,TMIN,-13
GM000010147,2011-09-16,TMIN,86
GM000010147,2008-08-27,TMIN,162
GM000010147,2008-04-10,TMAX,105
GM000010147,2014-04-06,TMIN,83
GM000010147,2007-08-29,TMAX,165
GM000010147,2013-09-09,TMIN,83
GM000010147,2014-06-03,TMAX,228
GM000010147,2012-09-19,TMAX,149
GM000010147,2008-06-13,TMAX,169
GM000010147,2008-06-13,TMIN,60
GM000010147,2014-05-23,TMAX,182
GM000010147,2014-05-23,TMIN,96
GM000010147,2012-08-02,TMIN,145
GM000010147,2014-06-03,TMIN,77
GM000010147,2012-08-02,TMAX,257
GM000010147,2013-09-09,TMAX,152
GM000010147,2014-02-21,TMAX,96
GM000010147,2013-03-04,TMIN,-40
GM000010147,2005-11-29,TMAX,23
GM000010147,2012-06-14,TMAX,161
GM000010147,2010-05-05,TMAX,131
GM000010147,2009-02-16,TMAX,35
GM000010147,2014-03-24,TMIN,1
GM000010147,2009-02-16,TMIN,8
GM000010147,2014-11-20,TMAX,96
GM000010147,2012-06-14,TMIN,71
GM000010147,2006-11-01,TMAX,78
GM000010147,2011-11-16,TMAX,26
GM000010147,2010-05-05,TMIN,-11
GM000010147,2011-11-16,TMIN,11
GM000010147,2009-03-18,TMAX,103
GM000010147,2008-06-09,TMAX,253
GM000010147,2013-04-07,TMAX,78
GM000010147,2008-01-10,TMAX,95
GM000010147,2015-01-01,TMIN,20
GM000010147,2015-01-01,TMAX,55
GM000010147,2015-08-15,TMIN,162
GM000010147,2013-10-10,TMIN,66
GM000010147,2006-07-27,TMIN,191
GM000010147,2013-10-10,TMAX,124
GM000010147,2006-08-12,TMIN,99
GM000010147,2006-08-12,TMAX,206
GM000010147,2014-04-15,TMAX,124
GM000010147,2007-08-29,TMIN,64
GM000010147,2006-09-23,TMAX,240
GM000010147,2005-03-15,TMIN,1
GM000010147,2013-09-15,TMIN,114
GM000010147,2015-04-08,TMIN,31
GM000010147,2014-02-21,TMIN,30
GM000010147,2015-04-08,TMAX,134
GM000010147,2014-09-10,TMAX,206
GM000010147,2010-12-10,TMIN,-68
GM000010147,2009-03-18,TMIN,14
GM000010147,2010-12-10,TMAX,38
GM000010147,2012-09-19,TMIN,57
GM000010147,2008-06-09,TMIN,109
GM000010147,2015-08-15,TMAX,248
GM000010147,2010-01-25,TMIN,-127
GM000010147,2009-08-26,TMAX,232
GM000010147,2005-12-05,TMIN,35
GM000010147,2008-06-30,TMAX,220
GM000010147,2011-05-01,TMAX,142
GM000010147,2005-11-29,TMIN,-10
GM000010147,2015-12-31,TMAX,53
GM000010147,2013-06-26,TMAX,154
GM000010147,2006-08-10,TMAX,219
GM000010147,2010-09-23,TMIN,113
GM000010147,2006-08-10,TMIN,135
GM000010147,2009-09-15,TMIN,132
GM000010147,2014-02-07,TMIN,49
GM000010147,2014-02-07,TMAX,122
GM000010147,2008-10-15,TMIN,92
GM000010147,2006-12-18,TMAX,54
GM000010147,2010-09-23,TMAX,235
GM000010147,2013-06-26,TMIN,101
GM000010147,2015-05-15,TMIN,38
GM000010147,2012-09-27,TMIN,102
GM000010147,2008-04-10,TMIN,-16
GM000010147,2009-08-26,TMIN,132
GM000010147,2009-09-15,TMAX,201
GM000010147,2015-12-31,TMIN,1
GM000010147,2008-08-27,TMAX,183
GM000010147,2012-03-27,TMIN,52
GM000010147,2015-05-15,TMAX,136
GM000010147,2007-08-15,TMIN,173
GM000010147,2011-05-01,TMIN,41
GM000010147,2005-09-28,TMIN,79
GM000010147,2010-12-19,TMIN,-99
GM000010147,2006-11-01,TMIN,-1
GM000010147,2010-01-21,TMIN,-73
GM000010147,2013-03-04,TMAX,81
GM000010147,2015-03-23,TMAX,102
GM000010147,2012-03-27,TMAX,169
GM000010147,2010-01-21,TMAX,-41
GM000010147,2015-03-23,TMIN,-13
GM000010147,2012-08-31,TMAX,199
GM000010147,2011-12-17,TMIN,24
GM000010147,2011-05-30,TMAX,283
GM000010147,2012-08-31,TMIN,92
GM000010147,2011-12-17,TMAX,63
GM000010147,2011-05-30,TMIN,123
GM000010147,2005-01-30,TMIN,-6
GM000010147,2008-06-30,TMIN,106
GM000010147,2014-09-10,TMIN,105
GM000010147,2008-10-15,TMAX,156
GM000010147,2010-06-12,TMIN,110
GM000010147,2008-04-22,TMIN,46
GM000010147,2010-06-12,TMAX,169
GM000010147,2005-04-29,TMAX,155
GM000010147,2010-01-25,TMAX,-62
GM000010147,2005-04-29,TMIN,78
GM000010147,2010-12-19,TMAX,-76
GM000010147,2005-09-28,TMAX,168
GM000010147,2012-12-26,TMIN,51
GM000010147,2011-11-24,TMAX,93
GM000010147,2011-09-12,TMIN,146
GM000010147,2014-04-17,TMIN,33
GM000010147,2009-10-19,TMIN,6
GM000010147,2014-05-07,TMIN,91
GM000010147,2010-01-05,TMIN,-33
GM000010147,2008-09-23,TMAX,144
GM000010147,2006-11-27,TMIN,47
GM000010147,2014-05-03,TMAX,136
GM000010147,2008-09-27,TMIN,51
GM000010147,2008-09-27,TMAX,171
GM000010147,2010-04-29,TMAX,246
GM000010147,2012-06-07,TMAX,216
GM000010147,2012-03-03,TMIN,23
GM000010147,2006-06-06,TMAX,189
GM000010147,2010-11-09,TMAX,58
GM000010147,2012-12-27,TMAX,81
GM000010147,2012-08-23,TMAX,213
GM000010147,2012-10-06,TMIN,67
GM000010147,2011-09-17,TMAX,184
GM000010147,2014-10-20,TMAX,159
GM000010147,2012-10-06,TMAX,119
GM000010147,2014-07-26,TMIN,154
GM000010147,2012-03-03,TMAX,93
GM000010147,2011-11-09,TMAX,70
GM000010147,2008-02-24,TMIN,76
GM000010147,2011-01-06,TMAX,34
GM000010147,2008-02-24,TMAX,104
GM000010147,2013-09-19,TMIN,55
GM000010147,2010-01-05,TMAX,-9
GM000010147,2009-10-19,TMAX,100
GM000010147,2014-03-17,TMIN,84
GM000010147,2014-03-17,TMAX,102
GM000010147,2009-11-15,TMAX,127
GM000010147,2014-10-01,TMIN,111
GM000010147,2011-10-09,TMIN,6
GM000010147,2005-11-06,TMAX,140
GM000010147,2008-01-31,TMIN,1
GM000010147,2014-03-28,TMIN,14
GM000010147,2014-03-28,TMAX,76
GM000010147,2010-10-05,TMAX,180
GM000010147,2005-11-06,TMIN,55
GM000010147,2014-05-07,TMAX,151
GM000010147,2013-09-19,TMAX,162
GM000010147,2014-07-30,TMAX,245
GM000010147,2012-06-07,TMIN,116
GM000010147,2011-10-09,TMAX,113
GM000010147,2014-07-30,TMIN,156
GM000010147,2012-08-23,TMIN,117
GM000010147,2008-09-23,TMIN,108
GM000010147,2010-04-29,TMIN,113
GM000010147,2010-10-05,TMIN,110
GM000010147,2008-04-09,TMIN,8
GM000010147,2014-08-07,TMAX,219
GM000010147,2006-06-06,TMIN,73
GM000010147,2012-12-27,TMIN,-22
GM000010147,2009-03-09,TMAX,63
GM000010147,2011-09-17,TMIN,114
GM000010147,2007-06-04,TMAX,188
GM000010147,2007-10-03,TMAX,163
GM000010147,2013-01-05,TMIN,57
GM000010147,2015-08-25,TMIN,148
GM000010147,2012-05-02,TMIN,69
GM000010147,2005-09-05,TMAX,266
GM000010147,2015-05-19,TMAX,158
GM000010147,2015-03-18,TMIN,55
GM000010147,2006-03-20,TMIN,-28
GM000010147,2013-01-12,TMAX,6
GM000010147,2014-08-20,TMAX,160
GM000010147,2012-01-20,TMIN,8
GM000010147,2012-05-23,TMAX,248
GM000010147,2015-03-18,TMAX,148
GM000010147,2013-01-12,TMIN,-54
GM000010147,2007-10-31,TMAX,106
GM000010147,2007-10-31,TMIN,28
GM000010147,2011-03-13,TMAX,148
GM000010147,2007-04-22,TMIN,20
GM000010147,2007-04-19,TMIN,24
GM000010147,2011-11-28,TMIN,38
GM000010147,2007-04-15,TMIN,59
GM000010147,2011-03-13,TMIN,61
GM000010147,2007-04-19,TMAX,158
GM000010147,2011-11-28,TMAX,90
GM000010147,2009-03-09,TMIN,18
GM000010147,2015-12-22,TMAX,132
GM000010147,2012-05-02,TMAX,196
GM000010147,2015-08-25,TMAX,211
GM000010147,2010-12-12,TMAX,43
GM000010147,2014-07-26,TMAX,266
GM000010147,2009-03-07,TMAX,72
GM000010147,2014-10-20,TMIN,118
GM000010147,2011-08-16,TMAX,187
GM000010147,2011-08-16,TMIN,92
GM000010147,2009-03-07,TMIN,-2
GM000010147,2007-06-04,TMIN,133
GM000010147,2005-12-23,TMAX,78
GM000010147,2006-07-06,TMAX,292
GM000010147,2012-05-23,TMIN,128
GM000010147,2005-12-23,TMIN,51
GM000010147,2011-07-09,TMAX,261
GM000010147,2014-06-02,TMIN,41
GM000010147,2014-06-02,TMAX,211
GM000010147,2013-01-05,TMAX,78
GM000010147,2005-08-19,TMIN,153
GM000010147,2007-04-15,TMAX,244
GM000010147,2007-10-03,TMIN,44
GM000010147,2005-08-19,TMAX,277
GM000010147,2008-07-05,TMAX,241
GM000010147,2008-07-05,TMIN,139
GM000010147,2011-08-19,TMIN,120
GM000010147,2015-12-22,TMIN,73
GM000010147,2011-08-19,TMAX,189
GM000010147,2010-04-01,TMIN,25
GM000010147,2006-04-07,TMIN,35
GM000010147,2008-01-31,TMAX,40
GM000010147,2008-04-09,TMAX,96
GM000010147,2015-06-20,TMAX,173
GM000010147,2007-08-09,TMAX,266
GM000010147,2010-04-28,TMAX,198
GM000010147,2010-12-01,TMAX,-52
GM000010147,2006-01-25,TMIN,-52
GM000010147,2012-04-11,TMIN,39
GM000010147,2006-04-17,TMAX,134
GM000010147,2015-09-14,TMIN,141
GM000010147,2012-10-04,TMAX,122
GM000010147,2012-10-04,TMIN,75
GM000010147,2012-11-23,TMAX,79
GM000010147,2015-06-20,TMIN,105
GM000010147,2013-11-06,TMIN,51
GM000010147,2008-03-08,TMIN,2
GM000010147,2014-06-01,TMIN,53
GM000010147,2013-05-03,TMAX,187
GM000010147,2014-05-03,TMIN,-16
GM000010147,2013-05-03,TMIN,66
GM000010147,2010-01-17,TMAX,-12
GM000010147,2011-11-09,TMIN,21
GM000010147,2010-01-17,TMIN,-27
GM000010147,2011-05-27,TMIN,78
GM000010147,2011-05-27,TMAX,170
GM000010147,2008-10-01,TMIN,89
GM000010147,2013-11-06,TMAX,90
GM000010147,2014-06-01,TMAX,144
GM000010147,2012-04-11,TMAX,121
GM000010147,2007-08-09,TMIN,161
GM000010147,2014-04-17,TMAX,160
GM000010147,2006-12-03,TMIN,66
GM000010147,2011-08-26,TMIN,181
GM000010147,2009-11-21,TMAX,128
GM000010147,2011-08-26,TMAX,297
GM000010147,2007-04-18,TMIN,45
GM000010147,2006-12-10,TMAX,79
GM000010147,2007-04-18,TMAX,118
GM000010147,2006-12-03,TMAX,124
GM000010147,2013-06-13,TMAX,229
GM000010147,2005-01-04,TMAX,91
GM000010147,2015-09-14,TMAX,178
GM000010147,2013-06-13,TMIN,122
GM000010147,2013-03-25,TMIN,-46
GM000010147,2009-01-23,TMAX,36
GM000010147,2006-04-20,TMIN,78
GM000010147,2006-01-25,TMAX,0
GM000010147,2005-01-04,TMIN,67
GM000010147,2014-11-24,TMAX,107
GM000010147,2014-11-24,TMIN,56
GM000010147,2012-01-13,TMAX,62
GM000010147,2012-01-13,TMIN,9
GM000010147,2010-04-28,TMIN,51
GM000010147,2010-12-01,TMIN,-83
GM000010147,2013-03-25,TMAX,10
GM000010147,2006-01-20,TMIN,2
GM000010147,2008-09-11,TMAX,232
GM000010147,2008-09-11,TMIN,142
GM000010147,2014-08-20,TMIN,82
GM000010147,2010-01-10,TMIN,4
GM000010147,2011-12-21,TMIN,-18
GM000010147,2014-11-15,TMIN,91
GM000010147,2014-01-09,TMAX,119
GM000010147,2008-01-26,TMAX,97
GM000010147,2012-04-12,TMIN,29
GM000010147,2012-04-12,TMAX,144
GM000010147,2007-04-17,TMIN,63
GM000010147,2013-02-01,TMAX,67
GM000010147,2009-11-15,TMIN,94
GM000010147,2010-09-06,TMAX,180
GM000010147,2007-04-17,TMAX,142
GM000010147,2014-08-04,TMIN,153
GM000010147,2013-02-01,TMIN,27
GM000010147,2014-08-04,TMAX,238
GM000010147,2010-11-09,TMIN,33
GM000010147,2010-04-01,TMAX,79
GM000010147,2007-12-18,TMAX,14
GM000010147,2007-12-18,TMIN,-1
GM000010147,2006-04-20,TMAX,119
GM000010147,2014-01-09,TMIN,59
GM000010147,2014-08-07,TMIN,138
GM000010147,2006-11-27,TMAX,119
GM000010147,2015-06-16,TMAX,159
GM000010147,2011-12-21,TMAX,54
GM000010147,2012-11-23,TMIN,32
GM000010147,2009-08-02,TMAX,264
GM000010147,2008-10-01,TMAX,135
GM000010147,2006-01-20,TMAX,73
GM000010147,2015-06-25,TMAX,226
GM000010147,2009-01-23,TMIN,0
GM000010147,2014-10-19,TMIN,144
GM000010147,2008-11-29,TMIN,3
GM000010147,2010-01-10,TMAX,20
GM000010147,2015-06-25,TMIN,127
GM000010147,2007-08-23,TMIN,134
GM000010147,2007-08-23,TMAX,247
GM000010147,2007-11-04,TMIN,9
GM000010147,2009-08-02,TMIN,156
GM000010147,2008-11-29,TMAX,28
GM000010147,2010-10-04,TMAX,175
GM000010147,2012-03-25,TMIN,29
GM000010147,2010-10-04,TMIN,102
GM000010147,2007-11-04,TMAX,111
GM000010147,2008-01-26,TMIN,53
GM000010147,2012-03-25,TMAX,168
GM000010147,2011-08-11,TMIN,133
GM000010147,2011-08-11,TMAX,177
GM000010147,2014-10-19,TMAX,225
GM000010147,2015-06-16,TMIN,51
GM000010147,2011-07-28,TMAX,233
GM000010147,2011-07-28,TMIN,114
GM000010147,2014-10-01,TMAX,201
GM000010147,2011-11-18,TMIN,32
GM000010147,2007-04-30,TMIN,-6
GM000010147,2011-09-30,TMIN,109
GM000010147,2013-08-02,TMAX,343
GM000010147,2015-07-24,TMAX,244
GM000010147,2008-05-02,TMAX,166
GM000010147,2011-05-29,TMAX,182
GM000010147,2015-07-24,TMIN,89
GM000010147,2012-12-15,TMIN,10
GM000010147,2013-12-01,TMIN,-2
GM000010147,2011-05-10,TMIN,107
GM000010147,2006-08-14,TMIN,134
GM000010147,2011-05-10,TMAX,259
GM000010147,2013-08-02,TMIN,183
GM000010147,2008-05-02,TMIN,51
GM000010147,2014-03-11,TMIN,21
GM000010147,2006-08-14,TMAX,148
GM000010147,2013-12-01,TMAX,95
GM000010147,2006-11-16,TMAX,163
GM000010147,2012-09-29,TMAX,153
GM000010147,2015-09-20,TMAX,170
GM000010147,2014-03-11,TMAX,130
GM000010147,2014-01-18,TMAX,81
GM000010147,2014-01-18,TMIN,41
GM000010147,2014-12-16,TMIN,11
GM000010147,2012-02-07,TMAX,-17
GM000010147,2010-07-28,TMAX,207
GM000010147,2006-11-18,TMAX,128
GM000010147,2014-08-03,TMIN,164
GM000010147,2014-08-03,TMAX,282
